Designator,Mid X,Mid Y,Rotation,Layer
C1,31.893279,-14.146721,90.0,top
C2,32.210779,-20.354221,270.0,top
C3,38.243279,-13.966721,90.0,top
D1,25.003279,-15.986721,180.0,top
D2,13.335,-27.325,270.0,top
D3,20.0,-32.6875,270.0,top
D4,30.0,-32.69,270.0,top
D5,40.0,-32.69,270.0,top
D6,50.0,-32.69,270.0,top
R1,15.33,-27.305,270.0,top
R2,22.0,-32.6675,270.0,top
R3,32.0,-32.67,270.0,top
R4,42.0,-32.67,270.0,top
R5,52.0,-32.67,270.0,top
U1,55.099718,-10.205664,90.0,top
U2,27.130779,-21.701721,180.0,top
U3,43.895779,-17.319221,90.0,top
